01 08 01;1;" ";01;08;01;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;PARA-007/14;650.000000000;CARTA POLITENATA GR. 45+PE - ST. GENERICA FORMATO 33X40 (PACCO DA 15 KG.)
01 08 02;1;" ";01;08;02;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;PARA-007/38;125.000000000;CARTA POLITENATA GR. 45+PE TUTTA BIANCA FORMATO 50X75 (PACCO DA 15 KG.)
01 08 03;1;" ";01;08;03;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;SACC-13/63;5.000000000;SACCHETTI AVANA  40GR 25X50 CRAI
01 08 04;1;" ";01;08;04;" ";S;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;ALPE-020/2;617.000000000;BOBINA PELLICOLA DA 300 METRI H.30 - RICAMBIO
01 09 01;1;" ";01;09;01;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;PARA-007/15;320.000000000;CARTA POLITENATA GR. 45+PE - ST. GENERICA FORMATO 37X50 (PACCO DA 15 KG.)
01 09 02;1;" ";01;09;02;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;PARA-007/27;185.000000000;CARTA POLITENATA GR. 45+PE TUTTA BIANCA FORMATO 33X40 (PACCO DA 15 KG.)
01 09 03;1;" ";01;09;03;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;SACC-007/7;227.000000000;SACCHETTI CARTA VELEN KV SE FORMATO 18X42 ST. PANE (PACCO DA 15 KG.)
01 09 04;1;" ";01;09;04;" ";S;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;PARA-007/23;660.000000000;CARTA POLITENATA GR. 45+PE - ST. MACELLERIA FORMATO 25X37 (PACCO DA 15 KG.)
01 10 01;1;" ";01;10;01;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;PARA-007/13;140.000000000;CARTA POLITENATA GR. 45+PE - ST. GENERICA FORMATO 25X37 (PACCO DA 15 KG.)
01 10 02;1;" ";01;10;02;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;PARA-003/9;90.000000000;CARTA POLITENATA UNICA GR.45 FORMATO 75X100
01 10 03;1;" ";01;10;03;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;SACC-14/21;13.000000000;SACCHETTI ANTIGRASSO SALVAFR. 20X32+5 CRAI
01 10 04;1;" ";01;10;04;" ";S;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;IGIE-010/11;24.000000000;LENZUOLINI MEDICI IN PURA CELLULOSA 80 MT. PAPERDI (870093) 1 CT=6 RT
01 11 01;1;" ";01;11;01;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;PARA-007/23;270.000000000;CARTA POLITENATA GR. 45+PE - ST. MACELLERIA FORMATO 25X37 (PACCO DA 15 KG.)
01 11 02;1;" ";01;11;02;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;SOVR-005/15;40.000000000;CARTA PELLEAGLIO 50 GR. X ALIMENTI FORMATO 75X100
